x1,x2,y,l
-0.3,0.6,1.481458348,1
-0.2,0.6,1.631458348,1
-0.1,0.6,1.801458348,1
0,0.6,1.991458348,1
0.1,0.6,2.201458348,1
0.2,0.6,2.431458348,1
0.3,0.6,2.681458348,1
0.4,0.6,2.951458348,0
0.5,0.6,3.241458348,0
0.6,0.6,3.551458348,0
0.7,0.6,3.881458348,0
0.8,0.6,4.231458348,0
0.9,0.6,4.601458348,0
1,0.6,4.991458348,0
-1,0.7,0.925211521,1
-0.9,0.7,0.935211521,1
-0.8,0.7,0.965211521,1
-0.7,0.7,1.015211521,1
-0.6,0.7,1.085211521,1
-0.5,0.7,1.175211521,1
-0.4,0.7,1.285211521,1
-0.3,0.7,1.415211521,1
-0.2,0.7,1.565211521,1
-0.1,0.7,1.735211521,1
0,0.7,1.925211521,1
0.1,0.7,2.135211521,1
0.2,0.7,2.365211521,1
0.3,0.7,2.615211521,1
0.4,0.7,2.885211521,1
0.5,0.7,3.175211521,0
0.6,0.7,3.485211521,0
0.7,0.7,3.815211521,0
0.8,0.7,4.165211521,0
0.9,0.7,4.535211521,0
1,0.7,4.925211521,0
-1,0.8,0.549355436,1
-0.9,0.8,0.559355436,1
-0.8,0.8,0.589355436,1
-0.7,0.8,0.639355436,1
-0.6,0.8,0.709355436,1
-0.5,0.8,0.799355436,1
-0.4,0.8,0.909355436,1
-0.3,0.8,1.039355436,1
-0.2,0.8,1.189355436,1
-0.1,0.8,1.359355436,1
0,0.8,1.549355436,1
0.1,0.8,1.759355436,1
0.2,0.8,1.989355436,1
0.3,0.8,2.239355436,1
0.4,0.8,2.509355436,1
0.5,0.8,2.799355436,1
0.6,0.8,3.109355436,1
0.7,0.8,3.439355436,0
0.8,0.8,3.789355436,0
0.9,0.8,4.159355436,0
1,0.8,4.549355436,0
-1,0.9,-0.098248594,1
-0.9,0.9,-0.088248594,1
-0.8,0.9,-0.058248594,1
-0.7,0.9,-0.008248594,1
-0.6,0.9,0.061751406,1
-0.5,0.9,0.151751406,1
-0.4,0.9,0.261751406,1
-0.3,0.9,0.391751406,1
-0.2,0.9,0.541751406,1
-0.1,0.9,0.711751406,1
0,0.9,0.901751406,1
0.1,0.9,1.111751406,1
0.2,0.9,1.341751406,1
0.3,0.9,1.591751406,1
0.4,0.9,1.861751406,1
0.5,0.9,2.151751406,1
0.6,0.9,2.461751406,1
0.7,0.9,2.791751406,1
0.8,0.9,3.141751406,1
0.9,0.9,3.511751406,0
1,0.9,3.901751406,0
-1,1,-0.756802495,1
-0.9,1,-0.746802495,1
-0.8,1,-0.716802495,1
-0.7,1,-0.666802495,1
-0.6,1,-0.596802495,1
-0.5,1,-0.506802495,1
-0.4,1,-0.396802495,1
-0.3,1,-0.266802495,1
-0.2,1,-0.116802495,1
-0.1,1,0.053197505,1
0,1,0.243197505,1
0.1,1,0.453197505,1
0.2,1,0.683197505,1
0.3,1,0.933197505,1
0.4,1,1.203197505,1
0.5,1,1.493197505,1
0.6,1,1.803197505,1
0.7,1,2.133197505,1
0.8,1,2.483197505,1
0.9,1,2.853197505,1
1,1,3.243197505,0
